timestamp,run,port,mac,event_type,value,weight,ratio
2026-04-25T12:17:43.171176,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,INIT,15.000,1.000,
2026-04-25T12:17:44.075335,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,INIT,21.000,1.000,
2026-04-25T12:17:44.398940,1,/dev/ttyUSB3,54:43:b2:e6:50:40,INIT,76.000,1.000,
2026-04-25T12:17:44.553132,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,INIT,52.000,1.000,
2026-04-25T12:18:03.165760,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,7.50000,0.50000,15.00000
2026-04-25T12:18:04.069762,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,10.50000,0.50000,21.00000
2026-04-25T12:18:04.184902,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,3.75000,0.25000,15.00000
2026-04-25T12:18:04.393666,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,43.25000,0.75000,57.66667
2026-04-25T12:18:04.548977,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,53.25000,1.25000,42.60000
2026-04-25T12:18:04.918951,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,31.87500,0.87500,36.42857
2026-04-25T12:18:05.225093,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,17.81250,0.56250,31.66667
2026-04-25T12:18:05.392747,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,30.53125,0.65625,46.52381
2026-04-25T12:18:05.457756,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,26.62500,0.62500,42.60000
2026-04-25T12:18:05.848011,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,15.93750,0.43750,36.42857
2026-04-25T12:18:06.185536,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,24.17188,0.60938,39.66667
2026-04-25T12:18:06.477859,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,13.31250,0.31250,42.60000
2026-04-25T12:18:06.533023,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,27.35156,0.63281,43.22222
2026-04-25T12:18:06.978368,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,7.96875,0.21875,36.42857
2026-04-25T12:18:07.175840,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,12.08594,0.30469,39.66667
2026-04-25T12:18:07.498922,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,20.33203,0.47266,43.01653
2026-04-25T12:18:07.553169,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,19.71875,0.46875,42.06667
2026-04-25T12:18:08.095931,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,16.20898,0.38867,41.70352
2026-04-25T12:18:08.169807,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,3.98438,0.10938,36.42857
