timestamp,run,port,mac,event_type,value,weight,ratio
2026-04-25T11:12:20.708321,1,/dev/ttyUSB3,54:43:b2:e6:50:40,INIT,58.000,1.000,
2026-04-25T11:12:21.187074,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,INIT,42.000,1.000,
2026-04-25T11:12:22.237654,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,INIT,89.000,1.000,
2026-04-25T11:12:23.020066,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,INIT,93.000,1.000,
2026-04-25T11:12:40.710052,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,29.00000,0.50000,58.00000
2026-04-25T11:12:41.180712,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,21.00000,0.50000,42.00000
2026-04-25T11:12:41.509604,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,14.50000,0.25000,58.00000
2026-04-25T11:12:42.079679,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,17.75000,0.37500,47.33333
2026-04-25T11:12:42.229957,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,44.50000,0.50000,89.00000
2026-04-25T11:12:42.429208,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,7.25000,0.12500,58.00000
2026-04-25T11:12:43.016352,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,97.37500,1.31250,74.19048
2026-04-25T11:12:43.019436,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,57.56250,0.84375,68.22222
2026-04-25T11:12:43.348995,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,51.03125,0.67188,75.95349
2026-04-25T11:12:43.448694,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,3.62500,0.06250,58.00000
2026-04-25T11:12:44.069977,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,56.10938,0.78906,71.10891
2026-04-25T11:12:44.104646,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,48.68750,0.65625,74.19048
2026-04-25T11:12:44.378964,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,77.91406,1.05859,73.60148
2026-04-25T11:12:44.509845,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,1.81250,0.03125,58.00000
2026-04-25T11:12:44.899664,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,28.05469,0.39453,71.10891
2026-04-25T11:12:45.214610,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,39.27734,0.54102,72.59928
2026-04-25T11:12:45.489639,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,38.95703,0.52930,73.60148
2026-04-25T11:12:45.699758,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,0.90625,0.01562,58.00000
2026-04-25T11:12:45.749685,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,53.59766,0.74023,72.40633
2026-04-25T11:12:46.344936,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,19.63867,0.27051,72.59928
2026-04-25T11:12:46.419027,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,19.47852,0.26465,73.60148
2026-04-25T11:12:46.739046,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,0.45312,0.00781,58.00000
2026-04-25T11:12:46.819741,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,36.61816,0.50537,72.45797
2026-04-25T11:12:47.184344,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,9.81934,0.13525,72.59928
2026-04-25T11:12:47.319482,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,9.73926,0.13232,73.60148
2026-04-25T11:12:47.629182,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,10.00586,0.13770,72.66666
2026-04-25T11:12:47.849863,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,18.30908,0.25269,72.45797
2026-04-25T11:12:48.024051,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,4.90967,0.06763,72.59928
2026-04-25T11:12:48.339693,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,14.02417,0.19250,72.85098
2026-04-25T11:12:48.448613,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,5.00293,0.06885,72.66666
2026-04-25T11:12:48.670318,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,9.15454,0.12634,72.45797
2026-04-25T11:12:49.214721,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,9.46692,0.13007,72.78555
2026-04-25T11:12:49.299687,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,11.58936,0.15942,72.69525
2026-04-25T11:12:49.479530,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,8.29614,0.11414,72.68663
2026-04-25T11:12:49.670381,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,9.31073,0.12820,72.62414
2026-04-25T11:12:50.164883,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,8.88153,0.12210,72.73932
2026-04-25T11:12:50.329190,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,8.80344,0.12117,72.65357
2026-04-25T11:12:50.410104,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,10.23544,0.14076,72.71436
2026-04-25T11:12:50.690073,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,4.65536,0.06410,72.62414
2026-04-25T11:12:51.300168,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,11.84712,0.16302,72.67403
2026-04-25T11:12:51.314907,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,4.44077,0.06105,72.73932
2026-04-25T11:12:51.429941,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,11.04128,0.15189,72.69272
2026-04-25T11:12:51.520809,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,10.06871,0.13852,72.68712
2026-04-25T11:12:52.309967,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,5.92356,0.08151,72.67403
2026-04-25T11:12:52.339920,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,5.52064,0.07594,72.69272
2026-04-25T11:12:52.365123,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,7.25474,0.09979,72.70309
2026-04-25T11:12:52.450654,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,14.38382,0.19788,72.68952
2026-04-25T11:12:53.139366,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,9.95223,0.13691,72.69041
2026-04-25T11:12:53.374190,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,3.62737,0.04989,72.70309
2026-04-25T11:12:53.489209,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,2.96178,0.04075,72.67403
2026-04-25T11:12:53.580845,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,7.19191,0.09894,72.68952
2026-04-25T11:12:53.948712,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,4.97612,0.06846,72.69041
2026-04-25T11:12:54.349297,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,5.07685,0.06985,72.68501
2026-04-25T11:12:54.390278,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,3.59596,0.04947,72.68952
2026-04-25T11:12:54.494519,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,1.81368,0.02495,72.70309
2026-04-25T11:12:54.999666,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,5.93332,0.08162,72.69003
2026-04-25T11:12:55.370154,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,7.30306,0.10047,72.68816
2026-04-25T11:12:55.580662,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,1.79798,0.02474,72.68952
2026-04-25T11:12:55.614783,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,4.55837,0.06271,72.69113
2026-04-25T11:12:55.809346,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,2.96666,0.04081,72.69003
2026-04-25T11:12:56.229645,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,6.82971,0.09396,72.68933
2026-04-25T11:12:56.490211,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,0.89899,0.01237,72.68952
2026-04-25T11:12:56.494095,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,7.62687,0.10492,72.69002
2026-04-25T11:12:56.919831,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,1.48333,0.02041,72.69003
2026-04-25T11:12:57.368523,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,3.41485,0.04698,72.68933
2026-04-25T11:12:57.394525,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,3.81343,0.05246,72.69002
2026-04-25T11:12:57.570493,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,1.19116,0.01639,72.68984
2026-04-25T11:12:58.110005,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,0.74167,0.01020,72.69003
2026-04-25T11:12:58.344822,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,2.50230,0.03442,72.68998
2026-04-25T11:12:58.548895,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,5.23612,0.07203,72.68978
2026-04-25T11:12:58.710447,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,0.59558,0.00819,72.68984
2026-04-25T11:12:58.958925,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,0.66862,0.00920,72.68995
2026-04-25T11:12:59.233932,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,1.25115,0.01721,72.68998
2026-04-25T11:12:59.708942,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,2.61806,0.03602,72.68978
2026-04-25T11:12:59.880306,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,0.29779,0.00410,72.68984
2026-04-25T11:12:59.999628,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,0.48321,0.00665,72.68991
2026-04-25T11:13:00.423607,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,0.62557,0.00861,72.68998
2026-04-25T11:13:00.589721,1,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,1.55063,0.02133,72.68980
2026-04-25T11:13:00.710204,1,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,0.14889,0.00205,72.68984
2026-04-25T11:13:00.869762,1,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,1.01692,0.01399,72.68983
2026-04-25T11:13:01.594603,1,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,0.77489,0.01066,72.68987
2026-04-25T11:13:09.980895,2,/dev/ttyUSB3,54:43:b2:e6:50:40,INIT,76.000,1.000,
2026-04-25T11:13:09.996895,2,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,INIT,82.000,1.000,
2026-04-25T11:13:10.904742,2,/dev/ttyUSB0,c8:f0:9e:2c:10:70,INIT,25.000,1.000,
2026-04-25T11:13:11.530474,2,/dev/ttyUSB1,3c:e9:0e:08:ec:80,INIT,82.000,1.000,
2026-04-25T11:13:29.975058,2,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,38.00000,0.50000,76.00000
2026-04-25T11:13:29.988655,2,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,60.00000,0.75000,80.00000
2026-04-25T11:13:30.896972,2,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,12.50000,0.50000,25.00000
2026-04-25T11:13:31.008106,2,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,36.25000,0.62500,58.00000
2026-04-25T11:13:31.044273,2,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,67.12500,0.93750,71.60000
2026-04-25T11:13:31.523297,2,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,41.00000,0.50000,82.00000
2026-04-25T11:13:31.746123,2,/dev/ttyUSB0,c8:f0:9e:2c:10:70,STATUS,6.25000,0.25000,25.00000
2026-04-25T11:13:31.993598,2,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,33.56250,0.46875,71.60000
2026-04-25T11:13:32.157518,2,/dev/ttyUSB2,c8:f0:9e:2b:e1:50,STATUS,51.68750,0.78125,66.16000
2026-04-25T11:13:32.673613,2,/dev/ttyUSB1,3c:e9:0e:08:ec:80,STATUS,23.62500,0.37500,63.00000
2026-04-25T11:13:32.833036,2,/dev/ttyUSB3,54:43:b2:e6:50:40,STATUS,16.78125,0.23438,71.60000
